2009-03-11,1
2009-03-12,0
2009-03-13,0
2009-03-14,0
2009-03-15,1
2009-03-16,1
2009-03-17,2
2009-03-18,1
2009-03-19,1
2009-03-20,1
2009-03-21,0
2009-03-22,2
2009-03-23,2
2009-03-24,4
2009-03-25,3
2009-03-26,2
2009-03-27,0
2009-03-28,2
2009-03-29,2
2009-03-30,2
2009-03-31,2
2009-04-01,3
2009-04-02,1
2009-04-03,0
2009-04-04,2
2009-04-05,0
2009-04-06,5
2009-04-07,3
2009-04-08,6
2009-04-09,2
2009-04-10,1
2009-04-11,2
2009-04-12,1
2009-04-13,6
2009-04-14,10
2009-04-15,4
2009-04-16,11
2009-04-17,10
2009-04-18,14
2009-04-19,21
2009-04-20,46
2009-04-21,45
2009-04-22,68
2009-04-23,86
2009-04-24,85
2009-04-25,93
2009-04-26,107
2009-04-27,77
2009-04-28,57
2009-04-29,25
2009-04-30,2
