1976-08-25,1
1976-09-01,1
1976-09-02,1
1976-09-03,1
1976-09-04,5
1976-09-05,1
1976-09-06,1
1976-09-07,3
1976-09-08,2
1976-09-09,6
1976-09-10,10
1976-09-11,4
1976-09-12,9
1976-09-13,9
1976-09-14,8
1976-09-15,10
1976-09-16,6
1976-09-17,6
1976-09-18,5
1976-09-19,8
1976-09-20,11
1976-09-21,6
1976-09-22,16
1976-09-23,12
1976-09-24,12
1976-09-25,11
1976-09-26,7
1976-09-27,7
1976-09-28,4
1976-09-29,5
1976-09-30,3
1976-10-01,8
1976-10-02,3
1976-10-03,3
1976-10-04,8
1976-10-05,5
1976-10-06,7
1976-10-07,5
1976-10-08,2
1976-10-09,4
1976-10-10,4
1976-10-11,3
1976-10-12,6
1976-10-13,2
1976-10-14,1
1976-10-18,1
1976-10-19,1
1976-10-20,2
1976-10-24,1
